,Year,variable,value,age,sex
0,2009,Female 0 — 4,295776,0 — 4,Female
1,2010,Female 0 — 4,387148,0 — 4,Female
2,2011,Female 0 — 4,436941,0 — 4,Female
3,2012,Female 0 — 4,425472,0 — 4,Female
4,2013,Female 0 — 4,514561,0 — 4,Female
5,2014,Female 0 — 4,602856,0 — 4,Female
6,2015,Female 0 — 4,623505,0 — 4,Female
7,2016,Female 0 — 4,670964,0 — 4,Female
8,2017,Female 0 — 4,882102,0 — 4,Female
9,2018,Female 0 — 4,1197808,0 — 4,Female
10,2019,Female 0 — 4,1184918,0 — 4,Female
11,2009,Female 5 — 11,703,5 — 11,Female
12,2010,Female 5 — 11,914,5 — 11,Female
13,2011,Female 5 — 11,914,5 — 11,Female
14,2012,Female 5 — 11,661363,5 — 11,Female
15,2013,Female 5 — 11,777595,5 — 11,Female
16,2014,Female 5 — 11,950716,5 — 11,Female
17,2015,Female 5 — 11,1004640,5 — 11,Female
18,2016,Female 5 — 11,1019592,5 — 11,Female
19,2017,Female 5 — 11,1268610,5 — 11,Female
20,2018,Female 5 — 11,1677196,5 — 11,Female
21,2019,Female 5 — 11,1665916,5 — 11,Female
22,2009,Female 12 — 17,814,12 — 17,Female
23,2010,Female 12 — 17,1035,12 — 17,Female
24,2011,Female 12 — 17,1095,12 — 17,Female
25,2012,Female 12 — 17,466480,12 — 17,Female
26,2013,Female 12 — 17,532235,12 — 17,Female
27,2014,Female 12 — 17,676790,12 — 17,Female
28,2015,Female 12 — 17,692570,12 — 17,Female
29,2016,Female 12 — 17,676846,12 — 17,Female
30,2017,Female 12 — 17,869125,12 — 17,Female
31,2018,Female 12 — 17,1065450,12 — 17,Female
32,2019,Female 12 — 17,1066639,12 — 17,Female
33,2009,Female 18 — 59,1849612,18 — 59,Female
34,2010,Female 18 — 59,1626696,18 — 59,Female
35,2011,Female 18 — 59,1653657,18 — 59,Female
36,2012,Female 18 — 59,1588435,18 — 59,Female
37,2013,Female 18 — 59,1693628,18 — 59,Female
38,2014,Female 18 — 59,2036845,18 — 59,Female
39,2015,Female 18 — 59,2100049,18 — 59,Female
40,2016,Female 18 — 59,2099669,18 — 59,Female
41,2017,Female 18 — 59,2586920,18 — 59,Female
42,2018,Female 18 — 59,3646773,18 — 59,Female
43,2019,Female 18 — 59,3644554,18 — 59,Female
44,2009,Female 60,185721,60,Female
45,2010,Female 60,176750,60,Female
46,2011,Female 60,179534,60,Female
47,2012,Female 60,153902,60,Female
48,2013,Female 60,134516,60,Female
49,2014,Female 60,155637,60,Female
50,2015,Female 60,159662,60,Female
51,2016,Female 60,169085,60,Female
52,2017,Female 60,207362,60,Female
53,2018,Female 60,296180,60,Female
54,2019,Female 60,280914,60,Female
55,2009,Male 0 — 4,308975,0 — 4,Male
56,2010,Male 0 — 4,401939,0 — 4,Male
57,2011,Male 0 — 4,456281,0 — 4,Male
58,2012,Male 0 — 4,438510,0 — 4,Male
59,2013,Male 0 — 4,531137,0 — 4,Male
60,2014,Male 0 — 4,623553,0 — 4,Male
61,2015,Male 0 — 4,640058,0 — 4,Male
62,2016,Male 0 — 4,692105,0 — 4,Male
63,2017,Male 0 — 4,905120,0 — 4,Male
64,2018,Male 0 — 4,1243893,0 — 4,Male
65,2019,Male 0 — 4,1226828,0 — 4,Male
66,2009,Male 5 — 11,688,5 — 11,Male
67,2010,Male 5 — 11,941,5 — 11,Male
68,2011,Male 5 — 11,904,5 — 11,Male
69,2012,Male 5 — 11,676299,5 — 11,Male
70,2013,Male 5 — 11,797546,5 — 11,Male
71,2014,Male 5 — 11,984181,5 — 11,Male
72,2015,Male 5 — 11,1037505,5 — 11,Male
73,2016,Male 5 — 11,1055786,5 — 11,Male
74,2017,Male 5 — 11,1315156,5 — 11,Male
75,2018,Male 5 — 11,1747364,5 — 11,Male
76,2019,Male 5 — 11,1734756,5 — 11,Male
77,2009,Male 12 — 17,813,12 — 17,Male
78,2010,Male 12 — 17,1039,12 — 17,Male
79,2011,Male 12 — 17,1053,12 — 17,Male
80,2012,Male 12 — 17,513786,12 — 17,Male
81,2013,Male 12 — 17,574685,12 — 17,Male
82,2014,Male 12 — 17,728219,12 — 17,Male
83,2015,Male 12 — 17,743203,12 — 17,Male
84,2016,Male 12 — 17,727187,12 — 17,Male
85,2017,Male 12 — 17,909720,12 — 17,Male
86,2018,Male 12 — 17,1155747,12 — 17,Male
87,2019,Male 12 — 17,1146564,12 — 17,Male
88,2009,Male 18 — 59,2175511,18 — 59,Male
89,2010,Male 18 — 59,1880530,18 — 59,Male
90,2011,Male 18 — 59,1806012,18 — 59,Male
91,2012,Male 18 — 59,1776665,18 — 59,Male
92,2013,Male 18 — 59,1786236,18 — 59,Male
93,2014,Male 18 — 59,2066089,18 — 59,Male
94,2015,Male 18 — 59,2174168,18 — 59,Male
95,2016,Male 18 — 59,2182587,18 — 59,Male
96,2017,Male 18 — 59,2716598,18 — 59,Male
97,2018,Male 18 — 59,3977378,18 — 59,Male
98,2019,Male 18 — 59,3959445,18 — 59,Male
99,2009,Male 60,198257,60,Male
100,2010,Male 60,145406,60,Male
101,2011,Male 60,180037,60,Male
102,2012,Male 60,161741,60,Male
103,2013,Male 60,138891,60,Male
104,2014,Male 60,157676,60,Male
105,2015,Male 60,160261,60,Male
106,2016,Male 60,167141,60,Male
107,2017,Male 60,195432,60,Male
108,2018,Male 60,276029,60,Male
109,2019,Male 60,273668,60,Male
